"id","state","county","year_month"
47717,"MN","Ramsey","2012-01"
47722,"NY","Nassau","2012-01"
47734,"PA","Lehigh","2012-01"
47736,"PA","Blair","2012-01"
47738,"PA","Montgomery","2012-01"
47740,"PA","Beaver","2012-01"
47742,"PA","Franklin","2012-01"
47746,"PA","Montgomery","2012-01"
47748,"PA","Chester","2012-06"
47750,"PA","Bucks","2012-01"
47752,"PA","Lancaster","2012-01"
47754,"PA","Erie","2012-01"
47756,"PA","Chester","2012-01"
47758,"PA","Bucks","2012-01"
47762,"PA","Westmoreland","2012-01"
47764,"PA","Dauphin","2012-01"
47770,"PA","Montgomery","2012-01"
47772,"PA","Lebanon","2012-01"
47774,"PA","Montgomery","2012-01"
47778,"PA","Montgomery","2012-01"
47782,"PA","Lycoming","2012-01"
47785,"PA","Allegheny","2012-01"
47787,"PA","Allegheny","2012-01"
47791,"PA","Bucks","2012-01"
47793,"PA","Washington","2012-01"
47795,"PA","Berks","2012-01"
47797,"PA","Allegheny","2012-01"
47799,"PA","Luzerne","2012-01"
47803,"PA","Butler","2012-01"
47807,"TN","Blount","2011-03"
47808,"TN","Shelby","2011-03"
47810,"TN","Sullivan","2011-03"
47813,"TN","Hamilton","2011-03"
47814,"TN","Montgomery","2011-03"
47816,"TN","Putnam","2011-03"
47817,"TN","Dickson","2011-03"
47819,"TN","Williamson","2011-03"
47823,"TN","Sumner","2011-03"
47824,"TN","Madison","2011-03"
47826,"TN","Washington","2011-03"
47827,"TN","Sullivan","2011-03"
47829,"TN","Knox","2011-03"
47830,"TN","Knox","2011-03"
47831,"TN","Davidson","2019-05"
47832,"TN","Coffee","2019-05"
47837,"TN","Shelby","2011-03"
47838,"TN","Shelby","2019-05"
47839,"TN","Hamblen","2011-03"
47841,"TN","Rutherford","2011-03"
47842,"TN","Davidson","2011-03"
47843,"TN","Davidson","2011-03"
47850,"TN","Anderson","2011-03"
47867,"TX","Montgomery","2012-01"
47868,"VA","Prince William","2012-01"
47870,"VA","Wythe","2012-01"
47890,"WI","Eau Claire","2012-01"
47894,"WI","Brown","2012-01"
47896,"WI","Milwaukee","2012-01"
47898,"WI","La Crosse","2012-01"
47900,"WI","Milwaukee","2012-01"
47902,"WI","Winnebago","2012-01"
47904,"WI","Sheboygan","2012-01"
47907,"WI","Waukesha","2012-01"
48029,"FL","Martin","2012-01"
48030,"FL","Broward","2011-09"
48031,"FL","Leon","2012-01"
48051,"FL","Brevard","2012-01"
48052,"FL","Palm Beach","2012-01"
48063,"CA","Orange","2011-03"
48064,"CA","Solano","2011-03"
48066,"CA","Solano","2011-03"
48067,"CA","Los Angeles","2014-04"
48068,"CA","San Bernardino","2011-03"
48069,"CA","Tulare","2011-03"
48071,"CA","Los Angeles","2011-03"
48076,"FL","Martin","2019-12"
48078,"FL","Palm Beach","2011-09"
48079,"FL","Brevard","2012-01"
48081,"FL","Miami-Dade","2012-01"
48083,"FL","Miami-Dade","2012-01"
48084,"FL","Miami-Dade","2012-01"
48085,"FL","Miami-Dade","2012-01"
48086,"FL","Broward","2012-01"
