"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Harlan","KY",26676,26309,26010,26752,26177,25662,25741,25741
"Harlan","NE",3415,3386,3380,3057,3097,3054,3071,3071
"Harmon","OK",2710,2691,2653,2473,2413,2428,2449,2449
"Harnett","NC",132395,134336,135976,133779,135669,138832,140604,140604
"Harney","OR",7258,7292,7393,7502,7590,7515,7503,7503
"Harper","KS",5580,5508,5436,5465,5329,5323,5330,5330
"Harper","OK",3784,3727,3688,3248,3172,3129,3156,3156
"Harris","GA",33943,34560,35236,34896,35605,36276,36663,36663
"Harris","TX",4657972,4680045,4713325,4734505,4735287,4780913,4856334,4856334
"Harrison","IA",14107,14105,14049,14564,14683,14658,14688,14688
"Harrison","IN",39777,40214,40515,39662,39817,39851,40022,40022
"Harrison","KY",18735,18780,18886,18718,18964,19103,19162,19162
"Harrison","MO",8506,8394,8352,8156,8170,8199,8224,8224
"Harrison","MS",204966,206284,208080,208811,209642,211044,211018,211018
"Harrison","OH",15202,15167,15040,14486,14476,14378,14415,14415
"Harrison","TX",66468,66584,66553,68798,69454,69955,71059,71059
"Harrison","WV",67905,67494,67256,65839,65436,64915,64730,64730
"Harrisonburg city","VA",53644,53488,53016,51706,51526,51158,51347,51347
"Hart","GA",25710,26071,26205,25871,26340,26909,27196,27196
"Hart","KY",18745,18902,19035,19289,19485,19600,19661,19661
"Hartford","CT",893076,892580,891720,NA,NA,NA,NA,NA
"Hartley","TX",5716,5611,5576,5349,5389,5208,5291,5291
"Harvey","KS",34373,34183,34429,33998,33827,33801,33841,33841
"Haskell","KS",4019,3990,3968,3759,3646,3576,3581,3581
"Haskell","OK",12726,12636,12627,11552,11601,11641,11740,11740
"Haskell","TX",5699,5699,5658,5432,5392,5403,5489,5489
"Hawaii","HI",199981,201509,201513,200712,203792,206315,205591,205591
"Hawkins","TN",56620,56713,56786,56710,57257,58043,58662,58662
"Hayes","NE",893,917,922,853,841,849,854,854
"Hays","TX",214726,222706,230191,243967,256065,269225,273473,273473
"Haywood","NC",61005,61890,62317,62223,62504,62609,63408,63408
"Haywood","TN",17607,17347,17304,17824,17715,17550,17738,17738
"Heard","GA",11751,11871,11923,11448,11529,11725,11851,11851
"Hemphill","TX",3929,3845,3819,3363,3315,3217,3268,3268
"Hempstead","AR",21876,21685,21532,19981,19679,19453,19595,19595
"Henderson","IL",6819,6697,6646,6334,6304,6151,6136,6136
"Henderson","KY",45867,45512,45210,44668,44417,44046,44182,44182
"Henderson","NC",115216,116500,117417,116541,116988,118106,119614,119614
"Henderson","TN",27851,27983,28117,27827,27916,27929,28227,28227
"Henderson","TX",80954,82103,82737,82394,83590,84511,85845,85845
"Hendricks","IN",163622,166908,170311,175575,179555,182534,183314,183314
"Hendry","FL",41018,41336,42022,39725,40212,41339,42019,42019
"Hennepin","MN",1247847,1257925,1265843,1281568,1266736,1260121,1264691,1264691
"Henrico","VA",327559,328993,330818,334344,333867,333962,335196,335196
"Henry","AL",17115,17173,17205,17175,17434,17655,17774,17774
"Henry","GA",225182,229728,234561,241848,245023,248364,251013,251013
"Henry","IA",20044,20033,19954,20451,20390,20196,20237,20237
"Henry","IL",49219,49069,48913,49172,48868,48419,48295,48295
"Henry","IN",48170,48131,47972,48903,49036,48915,49124,49124
"Henry","KY",15972,16061,16126,15697,15704,15771,15820,15820
"Henry","MO",21695,21808,21824,21974,22221,22438,22505,22505
"Henry","OH",27179,27091,27006,27663,27555,27512,27582,27582
"Henry","TN",32380,32336,32345,32144,32250,32379,32725,32725
"Henry","VA",51346,51050,50557,50846,50296,49906,50091,50091
"Herkimer","NY",62163,61713,61319,60024,60082,59822,59500,59500
"Hernando","FL",186704,190582,193920,195627,200649,206896,210300,210300
"Hertford","NC",23923,23878,23677,21470,21172,20875,21142,21142
"Hettinger","ND",2479,2503,2499,2467,2422,2406,2421,2421
"Hickman","KY",4518,4431,4380,4530,4430,4422,4436,4436
"Hickman","TN",24839,25007,25178,24969,25085,25455,25727,25727
"Hickory","MO",9395,9458,9544,8301,8594,8630,8656,8656
"Hidalgo","NM",4298,4231,4198,4166,4090,4003,4005,4005
"Hidalgo","TX",856249,862298,868707,872806,880633,888367,902382,902382
"Highland","OH",42903,43052,43161,43359,43423,43391,43502,43502
"Highland","VA",2217,2208,2190,2241,2241,2301,2310,2310
"Highlands","FL",103852,104933,106221,101345,103295,105618,107356,107356
"Hill","MT",16469,16342,16484,16263,16175,16068,16211,16211
"Hill","TX",35703,36165,36649,35962,36430,37329,37918,37918
"Hillsborough","FL",1426736,1451919,1471968,1466160,1484455,1513301,1538194,1538194
"Hillsborough","NH",413204,414630,417025,422883,424496,426594,428681,428681
"Hillsdale","MI",45820,45702,45605,45733,45609,45762,45777,45777
"Hinds","MS",239929,235824,231840,226763,222508,217730,217703,217703
"Hinsdale","CO",791,808,820,788,773,775,781,781
"Hitchcock","NE",2806,2801,2762,2622,2594,2598,2612,2612
"Hocking","OH",28436,28357,28264,28039,28126,27858,27929,27929
"Hockley","TX",22977,22971,23021,21503,21256,21161,21495,21495
"Hodgeman","KS",1863,1822,1794,1739,1750,1755,1758,1758
"Hoke","NC",54138,54695,55234,52240,53235,53787,54474,54474
"Holmes","FL",19427,19443,19617,19569,19295,19651,19975,19975
"Holmes","MS",17849,17444,17010,16879,16476,16121,16119,16119
"Holmes","OH",43895,43919,43960,44226,44374,44390,44503,44503
"Holt","MO",4407,4412,4403,4184,4241,4262,4275,4275
"Holt","NE",10182,10148,10067,10113,10081,10043,10097,10097
"Honolulu","HI",986353,979858,974563,1012305,1004673,995638,992142,992142
"Hood","TX",57973,60177,61643,62054,64263,66373,67421,67421
"Hood River","OR",23398,23267,23382,23958,24094,24048,24010,24010
"Hooker","NE",666,676,682,706,731,686,690,690
"Hoonah-Angoon Census Area","AK",2139,2155,2148,2362,2339,2287,2287,2287
"Hopewell city","VA",22505,22478,22529,23010,23145,22962,23047,23047
"Hopkins","KY",45293,45024,44686,45366,45096,44812,44950,44950
"Hopkins","TX",36451,36738,37084,36824,37237,37804,38401,38401
"Horry","SC",332655,344105,354081,353745,366011,383101,389695,389695
"Hot Spring","AR",33606,33672,33771,33075,33108,33203,33444,33444
"Hot Springs","WY",4686,4568,4413,4618,4574,4588,4610,4610
"Houghton","MI",36198,35943,35684,37238,37444,37035,37047,37047
"Houston","AL",104378,104770,105882,107286,107453,108079,108807,108807
"Houston","GA",153202,155523,157863,164343,167156,169631,171440,171440
"Houston","MN",18677,18572,18600,18851,18829,18800,18869,18869
"Houston","TN",8158,8234,8201,8303,8282,8219,8307,8307
"Houston","TX",23089,23068,22968,22055,21958,21950,22297,22297
"Howard","AR",13365,13302,13202,12755,12676,12557,12649,12649
"Howard","IA",9229,9172,9158,9492,9500,9533,9553,9553
"Howard","IN",82210,82257,82544,83588,83642,83574,83931,83931
"Howard","MD",319251,322621,325690,332786,335287,335411,336260,336260
"Howard","MO",10066,10059,10001,10151,10128,10168,10198,10198
"Howard","NE",6396,6457,6445,6484,6519,6515,6550,6550
"Howard","TX",35817,35925,36664,34812,34336,33672,34204,34204
"Howell","MO",40074,40126,40117,39793,39980,40631,40751,40751
"Hubbard","MN",20965,21291,21491,21392,21745,21960,22040,22040
"Hudson","NJ",672826,671931,672391,721832,703447,703366,705580,705580
"Hudspeth","TX",4604,4788,4886,3203,3289,3432,3487,3487
"Huerfano","CO",6628,6887,6897,6827,6922,7082,7128,7128
"Hughes","OK",13265,13305,13279,13348,13394,13407,13521,13521
"Hughes","SD",17670,17683,17526,17745,17768,17692,17877,17877
"Humboldt","CA",136507,136244,135558,136261,134836,135010,134789,134789
"Humboldt","IA",9569,9559,9558,9595,9637,9572,9592,9592
"Humboldt","NV",16719,16778,16831,17276,17591,17272,17362,17362
"Humphreys","MS",8333,8256,8064,7735,7548,7333,7333,7333
"Humphreys","TN",18503,18551,18582,19001,19200,19106,19310,19310
"Hunt","TX",94046,96606,98594,100257,103458,108282,109991,109991
"Hunterdon","NJ",124712,124807,124371,128786,129668,129777,130186,130186
"Huntingdon","PA",45429,45395,45144,44047,43937,43281,43247,43247
"Huntington","IN",36222,36243,36520,36646,36792,36834,36992,36992
"Huron","MI",31306,31211,30981,31371,31354,31248,31258,31258
"Huron","OH",58393,58364,58266,58485,58431,58218,58366,58366
"Hutchinson","SD",7349,7306,7291,7421,7400,7368,7445,7445
"Hutchinson","TX",21343,21119,20938,20568,20411,20215,20534,20534
"Hyde","NC",5240,5026,4937,4551,4625,4576,4635,4635
"Hyde","SD",1297,1271,1301,1249,1215,1184,1197,1197
"Iberia Parish","LA",71982,70905,69830,70054,69298,68327,68082,68082
"Iberville Parish","LA",32906,32693,32511,30058,29713,29506,29400,29400
"Ida","IA",6869,6846,6860,7019,6974,6888,6902,6902
"Idaho","ID",16373,16476,16667,16588,17053,17593,17827,17827
"Imperial","CA",181649,181523,181215,179595,179215,178713,178420,178420
"Independence","AR",37391,37768,37825,37936,37742,37945,38221,38221
"Indian River","FL",154241,157187,159923,160439,163814,167352,170105,170105
"Indiana","PA",84743,84441,84073,83142,83158,82957,82891,82891
"Ingham","MI",292018,291612,292406,284640,271427,284108,284198,284198
"Inyo","CA",17868,17946,18039,19001,18927,18718,18688,18688
"Ionia","MI",64284,64276,64697,66855,66797,66809,66830,66830
"Iosco","MI",25128,25103,25127,25185,25374,25521,25530,25530
"Iowa","IA",16133,16155,16184,16654,16574,16475,16509,16509
"Iowa","WI",23676,23722,23678,23709,23777,23865,23940,23940
"Iredell","NC",175634,178332,181806,187683,192227,195897,198397,198397
"Irion","TX",1512,1516,1536,1511,1531,1530,1555,1555
"Iron","MI",11105,11104,11066,11628,11576,11622,11626,11626
"Iron","MO",10181,10187,10125,9514,9421,9414,9442,9442
"Iron","UT",50761,52678,54839,57708,60522,62429,63112,63112
"Iron","WI",5675,5687,5687,6146,6193,6224,6244,6244
"Iroquois","IL",27777,27484,27114,26977,26761,26473,26405,26405
"Irwin","GA",9352,9396,9416,9650,9375,9126,9224,9224
"Isabella","MI",71077,70463,69872,64513,64291,64447,64468,64468
"Isanti","MN",39543,39950,40596,41385,41951,42727,42882,42882
"Island","WA",83250,84227,85141,86990,87557,86625,86927,86927
"Isle of Wight","VA",36571,36972,37109,38702,39393,40151,40300,40300
"Issaquena","MS",1341,1307,1327,1325,1297,1273,1273,1273
"Itasca","MN",45088,45051,45130,45035,45058,45205,45369,45369
"Itawamba","MS",23499,23461,23390,23862,23866,23903,23901,23901
"Izard","AR",13666,13582,13629,13597,13928,14048,14150,14150
"Jack","TX",8828,8825,8935,8486,8718,8922,9063,9063
"Jackson","AL",51828,51621,51626,52545,52694,52891,53248,53248
"Jackson","AR",17017,16753,16719,16755,16780,16624,16745,16745
"Jackson","CO",1375,1395,1392,1378,1357,1302,1311,1311
"Jackson","FL",48289,48112,46414,47079,47154,48211,49005,49005
"Jackson","GA",67644,70325,72977,76717,80317,83936,84831,84831
"Jackson","IA",19382,19427,19439,19452,19397,19324,19364,19364
"Jackson","IL",57904,57289,56750,52906,52666,52617,52482,52482
"Jackson","IN",43955,44068,44231,46461,46285,46300,46498,46498
"Jackson","KS",13332,13270,13171,13241,13270,13286,13302,13302
"Jackson","KY",13422,13403,13329,12962,12987,12973,13013,13013
"Jackson","MI",158563,158566,158510,160225,160266,160066,160117,160117
"Jackson","MN",9965,9895,9846,9992,10015,9893,9929,9929
"Jackson","MO",698072,700784,703011,717572,717616,716531,718642,718642
"Jackson","MS",142246,143127,143617,143377,144438,144975,144957,144957
"Jackson","NC",43224,43600,43938,42231,42520,42955,43504,43504
"Jackson","OH",32386,32366,32413,32669,32518,32586,32669,32669
"Jackson","OK",25112,24775,24530,24736,24720,24556,24764,24764
"Jackson","OR",216746,219411,220944,223614,224327,221644,221290,221290
"Jackson","SD",3269,3278,3344,2801,2846,2821,2851,2851
"Jackson","TN",11702,11777,11786,11634,11777,11989,12117,12117
"Jackson","TX",14806,14834,14760,14992,15097,15142,15381,15381
"Jackson","WI",20485,20472,20643,21096,20899,20836,20902,20902
"Jackson","WV",28908,28695,28576,27720,27761,27716,27637,27637
"Jackson Parish","LA",15898,15912,15744,14997,14922,14839,14786,14786
"James City","VA",75274,76033,76523,78478,79914,81199,81499,81499
"Jasper","GA",13882,14029,14219,14666,15259,15951,16122,16122
"Jasper","IA",36995,37189,37185,37810,37874,37938,38015,38015
"Jasper","IL",9523,9624,9610,9240,9204,9212,9189,9189
"Jasper","IN",33424,33365,33562,32892,33113,33281,33424,33424
"Jasper","MO",120048,120455,121328,122878,123325,124075,124441,124441
"Jasper","MS",16574,16425,16383,16352,16265,16167,16165,16165
"Jasper","SC",28522,29147,30073,29143,30456,32039,32591,32591
"Jasper","TX",35549,35769,35529,32921,32570,32484,32997,32997
"Jay","IN",20883,20727,20436,20476,20309,20198,20285,20285
"Jeff Davis","GA",15039,15048,15115,14799,14848,14889,15048,15048
"Jeff Davis","TX",2260,2243,2274,1986,1959,1903,1934,1934
"Jefferson","AL",659599,659429,658573,674675,669997,665409,669891,669891
"Jefferson","AR",69238,68067,66824,66833,65649,64246,64713,64713
"Jefferson","CO",575417,579392,582881,583050,580926,576143,579861,579861
"Jefferson","FL",14165,14321,14246,14390,14476,15042,15290,15290
"Jefferson","GA",15630,15424,15362,15678,15494,15314,15478,15478
"Jefferson","IA",18219,18256,18295,15693,15762,15698,15730,15730
"Jefferson","ID",28439,29405,29871,31077,32253,33428,33871,33871
"Jefferson","IL",38045,37708,37684,36998,36882,36400,36307,36307
"Jefferson","IN",32013,32157,32308,33100,33119,32946,33087,33087
"Jefferson","KS",18932,18856,19043,18320,18419,18344,18366,18366
"Jefferson","KY",769828,768101,766757,782783,777378,773399,775772,775772
"Jefferson","MO",223769,224410,225081,226927,227934,229336,230012,230012
"Jefferson","MS",7227,7093,6990,7249,7156,7087,7087,7087
"Jefferson","MT",11921,12094,12221,12140,12472,12826,12940,12940
"Jefferson","NE",7176,7098,7046,7259,7160,7154,7193,7193
"Jefferson","NY",113157,111866,109834,116273,117680,116637,116010,116010
"Jefferson","OH",66318,65774,65325,65171,65111,64330,64494,64494
"Jefferson","OK",6164,6106,6002,5325,5396,5389,5435,5435
"Jefferson","OR",23652,24150,24658,24577,25122,25330,25290,25290
"Jefferson","PA",43818,43614,43425,44478,44142,43794,43760,43760
"Jefferson","TN",53730,54012,54495,54908,55562,56727,57332,57332
"Jefferson","TX",256041,253234,251565,256118,253531,250830,254787,254787
"Jefferson","WA",31210,31746,32221,33063,33561,33589,33706,33706
"Jefferson","WI",84733,85049,84769,86193,85796,85784,86053,86053
"Jefferson","WV",56444,56890,57146,57783,58520,58979,58811,58811
"Jefferson Davis","MS",11284,11215,11128,11271,11158,11088,11087,11087
"Jefferson Davis Parish","LA",31480,31537,31368,32210,32413,32026,31911,31911
"Jefferson Parish","LA",436126,433884,432493,439712,433929,425884,424354,424354
"Jenkins","GA",8813,8765,8676,8666,8776,8689,8782,8782
"Jennings","IN",27652,27679,27735,27581,27507,27536,27654,27654
"Jerauld","SD",2024,2026,2013,1648,1640,1650,1668,1668
"Jerome","ID",23768,24066,24412,24268,24745,25311,25647,25647
"Jersey","IL",21912,21795,21773,21495,21370,21246,21192,21192
"Jessamine","KY",53259,53757,54115,53016,53609,54254,54421,54421
"Jewell","KS",2857,2845,2879,2936,2946,2898,2902,2902
"Jim Hogg","TX",5212,5192,5200,4846,4797,4763,4839,4839
"Jim Wells","TX",40920,40756,40482,38877,38923,38826,39439,39439
"Jo Daviess","IL",21495,21331,21235,22057,21932,21758,21703,21703
"Johnson","AR",26401,26659,26578,25722,25977,26001,26190,26190
"Johnson","GA",9737,9706,9643,9186,9034,9242,9341,9341
"Johnson","IA",149325,150549,151140,153042,155016,156420,156738,156738
"Johnson","IL",12399,12423,12417,13322,13471,13381,13347,13347
"Johnson","IN",153820,156093,158167,162224,164418,165782,166490,166490
"Johnson","KS",591305,598127,602401,611101,614848,619195,619911,619911
"Johnson","KY",22606,22391,22188,22644,22539,22244,22313,22313
"Johnson","MO",53735,53621,54062,54018,54170,54368,54529,54529
"Johnson","NE",5169,5115,5071,5292,5335,5287,5316,5316
"Johnson","TN",17603,17774,17788,17990,18056,18086,18279,18279
"Johnson","TX",167012,171121,175817,180945,187442,195506,198591,198591
"Johnson","WY",8447,8446,8445,8467,8633,8730,8771,8771
"Johnston","NC",196374,202692,209339,217787,227313,234778,237774,237774
"Johnston","OK",11121,11020,11085,10241,10357,10406,10495,10495
"Jones","GA",28466,28680,28735,28397,28409,28472,28776,28776
"Jones","IA",20618,20673,20681,20653,20839,20848,20891,20891
"Jones","MS",68364,68196,68098,67163,66839,66569,66561,66561
"Jones","NC",9573,9613,9419,9147,9217,9233,9351,9351
"Jones","SD",922,928,903,925,884,884,894,894
"Jones","TX",19827,19866,20083,19678,19809,19935,20250,20250
"Josephine","OR",86584,87150,87487,88235,88590,87730,87590,87590
"Juab","UT",11293,11629,12017,11818,12192,12567,12705,12705
"Judith Basin","MT",1945,1946,2007,2025,2052,2105,2124,2124
"Juneau","WI",26460,26593,26687,26780,26756,26866,26950,26950
"Juneau City and Borough","AK",32098,32037,31974,32202,31965,31685,31678,31678
"Juniata","PA",24635,24718,24763,23471,23348,23339,23321,23321
"Kalamazoo","MI",262998,264680,265066,261767,260688,261173,261255,261255
"Kalawao","HI",86,86,86,80,81,82,82,82
"Kalkaska","MI",17571,17806,18038,17916,17958,18182,18188,18188
"Kanabec","MN",16060,16246,16337,16049,16187,16463,16523,16523
"Kanawha","WV",183385,180410,178124,180217,177993,175515,175013,175013
"Kandiyohi","MN",42778,42910,43199,43726,43865,43839,43998,43998
"Kane","IL",532272,532720,532403,516141,516183,514182,512861,512861
"Kane","UT",7520,7677,7886,7688,7999,8227,8317,8317
"Kankakee","IL",110540,109953,109862,107250,106652,106074,105802,105802
"Karnes","TX",15556,15660,15601,14763,14714,14836,15071,15071
"Kauai","HI",71827,72168,72293,73186,73791,73810,73551,73551
"Kaufman","TX",122628,128279,136154,147126,158216,172366,175086,175086
"Kay","OK",44403,43944,43538,43609,43724,43668,44038,44038
"Kearney","NE",6492,6539,6495,6681,6662,6690,6726,6726
"Kearny","KS",3935,3941,3838,3961,3892,3855,3860,3860
"Keith","NE",8070,8003,8034,8325,8298,8269,8313,8313
"Kemper","MS",10093,9733,9742,8956,8781,8654,8653,8653
"Kenai Peninsula Borough","AK",58558,58561,58708,58927,59851,60690,60676,60676
"Kendall","IL",126152,127717,128990,132348,134948,137254,136902,136902
"Kendall","TX",43969,45603,47431,44547,46851,48973,49746,49746
"Kenedy","TX",427,437,404,351,342,358,364,364
"Kennebec","ME",121913,122044,122302,123832,124824,125540,126481,126481
"Kenosha","WI",168356,168926,169561,169184,168465,167817,168342,168342
"Kent","DE",176499,178540,180786,182362,184371,186946,189424,189424
"Kent","MD",19442,19434,19422,19114,19254,19320,19369,19369
"Kent","MI",649278,653350,656955,658460,659000,659083,659290,659290
"Kent","RI",163543,164053,164292,170386,170997,171275,171624,171624
"Kent","TX",759,726,762,761,746,740,752,752
"Kenton","KY",165608,166292,166998,169246,169734,170313,170836,170836
"Keokuk","IA",10141,10213,10246,10012,9924,9904,9925,9925
"Kern","CA",887356,893758,900202,905828,912351,916108,914603,914603
"Kerr","TX",51892,52415,52600,52691,53136,53741,54589,54589
"Kershaw","SC",65213,65802,66551,65581,66121,67751,68918,68918
"Ketchikan Gateway Borough","AK",13834,13856,13901,13918,13810,13741,13738,13738
"Kewaunee","WI",20401,20395,20434,20550,20577,20623,20688,20688
"Keweenaw","MI",2085,2090,2116,2068,2118,2180,2181,2181
"Keya Paha","NE",790,806,806,759,787,787,792,792
"Kidder","ND",2471,2453,2480,2387,2361,2393,2408,2408
