"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Burt","NE",6531,6486,6459,6721,6706,6755,6791,6791
"Butler","AL",19888,19631,19448,19031,18855,18650,18776,18776
"Butler","IA",14592,14525,14439,14332,14362,14269,14298,14298
"Butler","KS",66845,66833,66911,67390,67958,68240,68319,68319
"Butler","KY",12778,12743,12879,12318,12279,12295,12333,12333
"Butler","MO",42618,42587,42478,42059,42150,42179,42304,42304
"Butler","NE",8032,8043,8016,8345,8425,8427,8472,8472
"Butler","OH",380607,382000,383134,390872,387791,388420,389408,389408
"Butler","PA",186828,187638,187853,194056,196789,197300,197143,197143
"Butte","CA",228696,230339,219186,210135,206190,207303,206963,206963
"Butte","ID",2585,2587,2597,2583,2650,2684,2720,2720
"Butte","SD",10114,10253,10429,10286,10530,10774,10887,10887
"Butts","GA",24067,24192,24936,25551,26114,26649,26934,26934
"Cabarrus","NC",206988,211597,216453,227214,231726,235797,238806,238806
"Cabell","WV",94452,93035,91945,94234,93494,92730,92465,92465
"Cache","UT",124236,126400,128289,133624,137429,140173,141705,141705
"Caddo","OK",29356,29028,28762,26900,26441,26198,26420,26420
"Caddo Parish","LA",245935,242833,240204,236928,232741,229025,228203,228203
"Calaveras","CA",45681,45698,45905,45346,46219,46563,46487,46487
"Calcasieu Parish","LA",202466,203177,203436,216465,205095,202418,201691,201691
"Caldwell","KY",12666,12716,12747,12634,12644,12570,12609,12609
"Caldwell","MO",9059,9071,9020,8824,8896,8933,8960,8960
"Caldwell","NC",81933,82026,82178,80632,80561,80492,81520,81520
"Caldwell","TX",42328,43161,43664,45949,46904,47848,48603,48603
"Caldwell Parish","LA",9959,9964,9918,9611,9593,9554,9520,9520
"Caledonia","VT",30141,30236,29993,30183,30423,30579,30598,30598
"Calhoun","AL",114710,114331,113605,116239,115677,115788,116568,116568
"Calhoun","AR",5201,5227,5189,4738,4737,4695,4730,4730
"Calhoun","FL",14428,14543,14105,13703,13514,13464,13686,13686
"Calhoun","GA",6389,6353,6189,5573,5534,5469,5528,5528
"Calhoun","IA",9729,9711,9668,9882,9884,9725,9745,9745
"Calhoun","IL",4851,4829,4739,4404,4385,4360,4349,4349
