branch_code,month,defaultlo,sumfines,pre_plaz,nmembers,credentry,cred_use,female,married,divorced,age,educ0,educ2,newgroup,newclnt,int_mont
44,511,.39252338,273.17188,12.635514,4.9626169,15386,1,.73831773,.72897196,.018691588,38.292454,.093457945,.11214953,.82105261,.77570093,75892.85714285714
44,512,.18947369,43.66,8.2631578,2.4315789,15386,1,.67368424,.69473684,.021052632,38.642105,.052631579,.15789473,.51948053,.53684211,79339.28571428572
44,513,.32323232,70.982933,8.7171717,1.949495,15386,1,.79797977,.5959596,.04040404,38.888889,.02020202,.2020202,.49295774,.49494949,93410.71428571429
44,514,.20689656,24.738104,8.6293106,2.5344827,15386,1,.68965518,.69827586,.017241379,40.146553,.043103449,.23275863,.32967034,.36206895,100017.8571428571
44,515,.36363637,128.79079,7.818182,2.1878788,15386,1,.71515149,.64242423,.012121212,39.256096,.054545455,.21212122,.27272728,.31515151,197142.8571428572
44,516,.30882353,131.63058,12.838235,7.3235292,15386,1,.83823532,.67647058,0,40.676472,.20588236,.20588236,.48148149,.4852941,53928.57142857143
44,517,.43478259,42.694782,8.318841,1.8985507,15386,1,.75362319,.68115944,.014492754,38.246376,0,.17391305,.18000001,.20289855,48482.14285714286
44,518,.21428572,70.885361,9.0238094,2.6904762,15386,1,.75,.71428573,.023809524,39.82143,.083333336,.20238096,.055555556,.05952381,78035.71428571429
44,519,.2857143,102.4819,9.4880953,2.2380953,15386,1,.73809522,.66666669,.011904762,37.154762,.047619049,.20238096,.041666668,.10714286,91357.14285714287
44,520,.27118644,128.55611,8.6101694,1.9152542,15386,1,.779661,.55932206,.033898305,42.067795,.033898305,.15254237,0,.13559322,62321.42857142857
44,521,.34615386,43.617306,8.3846149,2.1153846,15386,1,.80769229,.76923078,.01923077,39.807693,.01923077,.17307693,.24390244,.21153846,43928.57142857143
44,522,.25,33.192886,7.6730771,2.5769231,15386,1,.76923078,.84615386,0,39.53846,.057692308,.1923077,.125,.11538462,47589.28571428572
44,523,.46296296,101.01704,8.8888893,2.4074075,15386,1,.72222221,.51851851,.018518519,40.351852,.055555556,.16666667,.10416666,.11111111,44658.12316894531
